map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
112,0,235,112042,53401.0,99405.0,0.5372063779487953,0.0035576581321112273,15.572249412536621,49.37600960413615,7367.419770717621,18.261478424072266,57.93497947692871,8644.51072883606,25.675626754760742,94.01401700337728,14031.209126472473,17464.315110588577,8545.684889411423
112,1,235,112043,52046.0,99405.0,0.523575272873598,0.003467385913070185,13.946252822875977,46.19107308705648,6890.4922914505005,16.357215881347656,54.19880559285482,8085.036777496338,23.543745040893555,88.28875718434652,13173.486094474792,17672.25679134007,8337.74320865993
112,2,235,112044,46615.0,99405.0,0.4689401941552236,0.0031055641997034676,19.780017852783203,54.55865796407064,8142.713140487671,23.201862335205078,64.0175366973877,9554.42411994934,35.687686920166016,103.93488993326822,15514.334035873413,17267.93986476437,8742.060135235632
112,3,235,112045,37892.0,99405.0,0.38118806901061314,0.002524424298083531,29.093299865722656,51.929776433308916,7743.724269866943,34.133460998535156,60.93281786600749,9086.250495910645,51.96284103393555,98.12917813618978,14635.33968925476,17400.46636688885,8609.53363311115
112,4,235,112046,35105.0,99405.0,0.3531512499371259,0.002338749999583615,33.13832092285156,56.598600489298505,8442.025367736816,38.880516052246094,66.41173652648926,9905.714767456055,66.94477081298828,108.1349589029948,16128.715839385986,17487.136568033195,8522.863431966805
113,0,236,113042,29351.0,99385.0,0.2953262564773356,0.001955803023028713,45.541561126708984,56.49477671305338,8419.969902038574,51.971092224121094,64.47315305074056,9609.065628051758,89.34947967529297,108.04227961222331,16102.485637664795,17915.518006240596,8094.481993759404
113,1,236,113043,17936.0,99385.0,0.1804698898224078,0.0011951648332609787,49.14100646972656,61.466222229003904,9163.887006759644,56.07809066772461,70.14635050455729,10457.991746902466,94.56385040283203,115.9775402323405,17290.167545318604,19052.638608117537,6957.361391882463
113,2,236,113044,26786.0,99385.0,0.26951753282688534,0.0017848843233568565,46.51820755004883,56.31924054463705,8393.151153564453,53.084686279296875,64.27175710042317,9578.299438476562,90.52457427978516,106.96915379842122,15940.929218292236,18490.946166504495,7519.053833495505
113,3,236,113045,34813.0,99385.0,0.35028424812597475,0.002319763232622349,40.92673873901367,55.594896697998045,8287.295310974121,46.70372772216797,63.445675684611004,9457.5777053833,80.9049072265625,105.73087463378906,15759.997177124023,17948.224747125078,8061.775252874922
113,4,236,113046,27526.0,99385.0,0.27696332444533883,0.0018341942016247604,46.430145263671875,55.07529561360677,8206.6034450531,52.98514175415039,62.85240442911784,9365.446310043335,90.32494354248047,105.1154042561849,15662.96660232544,18549.190729239523,7460.809270760477
114,0,237,114042,44908.0,99243.0,0.4525054663805004,0.002996724942917221,20.990808486938477,39.739621264139814,5919.325980186462,23.086456298828125,43.7159731165568,6511.614267349243,37.551639556884766,75.54043637593587,11253.90258216858,17151.138786207946,8858.861213792054
114,1,237,114043,47424.0,99243.0,0.47785738036939635,0.00316461841304236,19.510028839111328,44.20013038635254,6589.142738342285,21.460166931152344,48.62468587239584,7248.734325408936,38.138641357421875,82.02278907775879,12225.961986541748,17732.745919580022,8277.254080419978
114,2,237,114044,34009.0,99243.0,0.3426841187791582,0.0022694312501931008,35.47895812988281,49.60251052856445,7391.5152950286865,39.02354049682617,54.56619138081869,8131.178464889526,64.71243286132812,91.27339370727539,13600.265785217285,17035.571164218243,8974.428835781757
114,3,237,114045,28454.0,99243.0,0.28671039771066975,0.0018987443556997996,43.848392486572266,50.8392502339681,7572.841533660889,48.23752212524414,55.9291970316569,8331.02232170105,87.47872161865234,98.71568232218425,14705.225933074951,17709.42734059524,8300.57265940476
114,4,237,114046,18574.0,99243.0,0.18715677680037887,0.0012394488529826415,48.64133834838867,56.908295135498044,8480.801795959473,53.507965087890625,62.60515635172526,9329.78099822998,95.08959197998047,108.94141510009766,16235.280414581299,17727.902247279715,8282.097752720285
115,0,238,115042,99829.0,199474.0,0.5004612129901641,0.003314312668809034,41.85742950439453,67.32957372029622,10022.736618041992,47.23966598510742,75.98815953572591,11311.660924911499,70.48489379882812,114.54381266276042,17048.39621734619,18264.019789241185,7745.980210758815
115,1,238,115043,98747.0,199474.0,0.4950369471710599,0.0032783903786162906,47.78559494018555,82.36066876729329,12274.436792373657,53.92942810058594,92.95195724487304,13852.88570022583,84.14788818359375,145.35317052205403,21662.96839904785,17169.87680850349,8840.12319149651
115,2,238,115044,111438.0,199474.0,0.5586592738903315,0.0036997302906644474,41.223262786865234,73.53442967732748,10953.782094955444,46.52321243286133,82.99067225138346,12362.396059036255,71.70996856689453,128.1043955485026,19081.871112823486,17263.6408003327,8746.359199667299
115,3,238,115045,102773.0,199474.0,0.5152200286754164,0.00341205317003587,41.34784698486328,73.86939547220867,11003.964672088623,46.66379165649414,83.36864954630533,12419.02236366272,73.41766357421875,131.4611319478353,19584.527725219727,17848.146729858294,8161.853270141706
115,4,238,115046,101230.0,199474.0,0.5074846847208158,0.003360825726627919,48.11247634887695,73.37763160705566,10926.817777633667,54.29899597167969,82.81421244303385,12332.039196014404,84.45565795898438,126.42148869832357,18823.062240600586,18438.222850216953,7571.777149783047
